Date,Time (est),Temperature (ÂºF),Relative Humidity,Dwpt,Month
2,21:54,44.1,28.0,30.37,11
2,22:54,43.0,27.0,30.37,11
2,23:54,41.0,27.0,30.39,11
3,00:54,39.9,27.0,30.39,11
3,01:54,39.0,27.0,30.4,11
3,01:54,37.9,25.0,30.41,11
3,02:54,37.0,25.0,30.41,11
3,03:54,37.0,25.0,30.41,11
3,04:54,37.0,25.0,30.43,11
3,05:54,36.0,24.1,30.43,11
3,06:54,37.0,24.1,30.45,11
3,07:54,39.0,24.1,30.47,11
3,08:54,41.0,25.0,30.47,11
3,09:54,44.1,26.1,30.47,11
3,10:54,44.1,28.9,30.46,11
3,11:54,46.0,30.0,30.44,11
3,12:54,46.0,28.9,30.44,11
3,13:54,46.0,30.0,30.44,11
3,14:54,46.0,28.9,30.44,11
3,15:54,45.0,28.9,30.46,11
3,16:54,45.0,27.0,30.47,11
3,17:54,45.0,24.1,30.49,11
3,18:54,46.0,28.0,30.49,11
3,19:54,42.1,32.0,30.5,11
3,20:54,42.1,30.9,30.51,11
3,21:54,39.9,30.0,30.52,11
3,22:54,39.0,30.0,30.53,11
3,23:54,41.0,28.9,30.54,11
4,00:54,39.9,28.9,30.53,11
4,01:54,37.0,28.0,30.55,11
4,02:54,37.9,26.1,30.53,11
4,03:54,36.0,24.1,30.54,11
4,04:54,36.0,25.0,30.57,11
4,05:54,36.0,25.0,30.58,11
4,06:54,37.0,26.1,30.6,11
4,07:54,39.9,27.0,30.6,11
4,08:54,43.0,28.9,30.58,11
4,09:54,46.0,30.0,30.56,11
4,10:54,46.0,32.0,30.56,11
4,11:54,46.9,33.1,30.54,11
4,12:54,48.9,34.0,30.52,11
4,13:54,48.0,34.0,30.49,11
4,14:54,50.0,36.0,30.47,11
4,15:54,48.9,37.0,30.45,11
4,16:54,48.9,37.0,30.44,11
4,17:54,50.0,39.0,30.43,11
4,18:54,50.0,39.9,30.41,11
4,19:54,48.9,41.0,30.4,11
4,20:54,48.9,41.0,30.39,11
4,21:54,48.9,42.1,30.37,11
4,22:54,48.9,42.1,30.34,11
4,23:54,48.9,44.1,30.31,11
5,00:54,48.9,45.0,30.29,11
5,01:54,50.0,46.0,30.26,11
5,02:54,50.0,46.9,30.24,11
5,03:54,50.0,48.9,30.23,11
5,04:54,52.0,51.1,30.22,11
5,05:54,54.0,51.1,30.22,11
5,06:54,54.0,51.1,30.21,11
5,08:54,62.1,52.0,30.19,11
5,09:54,64.0,51.1,30.17,11
5,10:54,68.0,52.0,30.15,11
5,11:54,70.0,52.0,30.11,11
5,12:54,72.0,53.1,30.09,11
5,13:54,73.9,53.1,30.06,11
5,14:54,73.9,53.1,30.05,11
5,15:54,73.9,54.0,30.03,11
5,16:54,71.1,54.0,30.03,11
5,17:54,69.1,54.0,30.03,11
5,18:54,66.9,54.0,30.03,11
5,19:54,64.9,54.0,30.03,11
5,20:54,64.0,55.0,30.03,11
5,21:54,63.0,55.0,30.02,11
5,22:54,61.0,55.0,30.02,11
5,23:54,61.0,55.9,30.01,11
6,00:54,63.0,57.0,30.0,11
6,01:54,64.0,57.0,30.0,11
6,02:54,64.0,57.9,29.99,11
6,03:54,64.9,57.9,29.98,11
6,04:54,64.9,57.9,29.97,11
6,05:54,64.9,57.0,29.96,11
6,06:54,64.9,55.0,29.96,11
6,07:54,66.0,55.9,29.95,11
6,08:54,69.1,57.0,29.94,11
6,09:54,73.0,57.0,29.91,11
6,10:54,73.9,57.0,29.9,11
6,11:54,78.1,57.0,29.86,11
6,12:54,81.0,55.9,29.84,11
6,13:54,81.0,55.9,29.81,11
6,14:54,81.0,55.9,29.81,11
6,15:54,79.0,55.9,29.85,11
6,16:54,78.1,55.9,29.86,11
6,17:54,78.1,57.0,29.89,11
6,18:54,73.9,57.0,29.9,11
6,19:54,71.1,57.9,29.91,11
6,20:54,71.1,57.9,29.92,11
6,21:54,69.1,57.0,29.92,11
6,22:54,71.1,55.9,29.92,11
6,23:54,70.0,53.1,29.93,11
7,00:54,68.0,51.1,29.94,11
7,01:54,68.0,50.0,29.94,11
7,02:54,66.9,50.0,29.95,11
7,03:54,64.9,48.9,29.95,11
7,04:54,63.0,48.9,29.96,11
7,05:54,63.0,48.9,29.96,11
7,06:54,64.0,48.9,29.96,11
7,07:54,63.0,50.0,29.97,11
7,08:54,66.0,51.1,29.97,11
7,09:54,69.1,48.9,29.96,11
7,10:54,70.0,46.9,29.95,11
7,11:54,70.0,46.0,29.94,11
7,12:54,70.0,41.0,29.93,11
7,13:54,69.1,41.0,29.94,11
7,14:54,68.0,39.9,29.95,11
7,15:54,66.0,39.9,29.96,11
7,16:54,63.0,41.0,29.98,11
7,17:54,61.0,39.9,30.02,11
7,18:54,59.0,37.9,30.04,11
7,19:54,57.9,37.0,30.04,11
7,20:54,57.0,37.0,30.05,11
7,21:54,55.0,39.9,30.05,11
7,22:54,53.1,39.0,30.03,11
7,23:54,52.0,39.0,30.02,11
8,00:54,51.1,37.9,30.02,11
8,01:54,50.0,35.1,30.02,11
8,02:54,48.9,34.0,30.0,11
8,03:54,48.9,33.1,30.0,11
8,04:54,48.0,34.0,29.99,11
8,05:54,48.9,34.0,29.95,11
8,06:54,45.0,35.1,29.94,11
8,07:54,48.9,36.0,29.93,11
8,08:54,52.0,37.0,29.9,11
8,09:54,55.9,37.0,29.84,11
8,10:54,60.1,34.0,29.79,11
8,11:54,62.1,30.9,29.75,11
8,12:54,63.0,32.0,29.71,11
8,13:54,64.0,32.0,29.69,11
8,14:54,63.0,33.1,29.71,11
8,15:54,62.1,33.1,29.73,11
8,16:54,60.1,35.1,29.75,11
8,17:54,57.9,36.0,29.76,11
8,18:54,57.9,36.0,29.79,11
8,19:54,52.0,42.1,29.83,11
8,20:54,52.0,39.9,29.88,11
8,21:54,48.0,35.1,29.9,11
8,22:54,46.9,30.9,29.91,11
8,23:54,46.0,26.1,29.94,11
9,00:54,46.0,23.0,29.97,11
9,01:54,45.0,21.9,30.0,11
9,02:54,44.1,21.9,30.01,11
9,03:54,44.1,21.9,30.05,11
9,04:54,43.0,21.9,30.07,11
9,05:54,43.0,21.0,30.1,11
9,06:54,43.0,21.0,30.15,11
9,07:54,44.1,19.9,30.18,11
9,08:54,45.0,19.0,30.2,11
9,09:54,46.9,19.9,30.21,11
9,10:54,48.9,19.0,30.22,11
9,11:54,50.0,17.1,30.21,11
9,12:54,51.1,17.1,30.21,11
9,13:54,52.0,16.0,30.22,11
9,14:54,52.0,15.1,30.24,11
9,15:54,51.1,15.1,30.27,11
9,16:54,48.9,16.0,30.3,11
9,17:54,48.0,16.0,30.32,11
9,18:54,46.9,16.0,30.34,11
9,19:54,46.0,17.1,30.36,11
9,20:54,45.0,18.0,30.38,11
9,21:54,43.0,18.0,30.39,11
9,22:54,42.1,18.0,30.38,11
9,23:54,39.9,19.0,30.38,11
10,00:54,39.9,19.0,30.37,11
10,01:54,39.0,19.9,30.37,11
10,03:54,39.0,19.9,30.36,11
10,04:54,37.9,19.0,30.36,11
10,05:54,39.0,19.9,30.35,11
10,06:54,37.0,21.9,30.36,11
10,07:54,43.0,21.0,30.34,11
10,08:54,44.1,19.0,30.32,11
10,09:54,48.0,17.1,30.3,11
10,10:54,52.0,19.9,30.26,11
10,11:54,54.0,21.0,30.22,11
10,12:54,55.0,26.1,30.18,11
10,13:54,57.0,30.0,30.14,11
10,14:54,57.0,30.9,30.1,11
10,15:54,57.0,34.0,30.07,11
10,16:54,55.0,35.1,30.05,11
10,17:54,55.0,37.0,30.04,11
10,18:54,55.0,37.9,30.02,11
10,19:54,55.0,39.0,30.0,11
10,20:54,54.0,44.1,29.97,11
10,21:54,53.1,45.0,29.95,11
10,22:54,53.1,44.1,29.93,11
10,23:54,52.0,46.0,29.88,11
11,00:54,52.0,48.9,29.82,11
11,01:54,55.0,53.1,29.76,11
11,02:54,57.0,55.0,29.73,11
11,03:54,57.9,55.9,29.7,11
11,04:54,57.9,55.0,29.67,11
11,05:54,57.9,55.0,29.64,11
11,06:54,59.0,54.0,29.67,11
11,07:54,59.0,52.0,29.67,11
11,08:54,60.1,52.0,29.66,11
11,09:54,63.0,51.1,29.65,11
11,10:54,63.0,51.1,29.64,11
11,11:54,64.0,48.0,29.61,11
11,12:54,66.9,46.0,29.6,11
11,13:54,66.9,44.1,29.58,11
11,14:54,66.9,42.1,29.58,11
11,15:54,64.9,39.9,29.59,11
11,16:54,63.0,42.1,29.6,11
11,17:54,62.1,42.1,29.62,11
11,18:54,62.1,43.0,29.63,11
11,19:54,62.1,43.0,29.64,11
11,20:54,59.0,45.0,29.64,11
11,21:54,59.0,44.1,29.64,11
11,22:54,60.1,43.0,29.62,11
11,23:54,57.9,43.0,29.62,11
12,00:54,57.9,42.1,29.62,11
12,01:54,55.0,43.0,29.63,11
12,02:54,55.0,39.9,29.64,11
12,03:54,54.0,37.9,29.65,11
12,04:54,53.1,39.0,29.67,11
12,05:54,52.0,37.9,29.69,11
12,06:54,51.1,37.9,29.72,11
12,07:54,52.0,37.9,29.78,11
12,08:54,52.0,33.1,29.83,11
12,09:54,52.0,30.9,29.86,11
12,10:54,52.0,30.0,29.89,11
12,11:54,51.1,28.9,29.91,11
12,12:54,50.0,28.0,29.94,11
12,13:54,50.0,28.0,29.96,11
12,14:54,46.9,27.0,30.01,11
12,15:54,45.0,27.0,30.07,11
12,16:54,43.0,26.1,30.12,11
12,17:54,43.0,24.1,30.17,11
12,18:54,42.1,23.0,30.2,11
12,19:54,41.0,21.9,30.22,11
12,20:54,39.9,19.9,30.24,11
12,21:54,39.0,19.0,30.27,11
12,22:54,37.9,19.0,30.3,11
12,23:54,37.0,18.0,30.32,11
13,00:54,36.0,18.0,30.34,11
13,01:54,35.1,18.0,30.35,11
13,02:54,34.0,17.1,30.37,11
13,03:54,33.1,17.1,30.39,11
13,04:54,32.0,17.1,30.41,11
13,05:54,32.0,18.0,30.44,11
13,06:54,33.1,18.0,30.47,11
13,07:54,35.1,19.0,30.49,11
13,08:54,37.9,19.0,30.49,11
13,09:54,39.0,21.0,30.51,11
13,10:54,41.0,18.0,30.51,11
13,11:54,42.1,16.0,30.49,11
13,12:54,45.0,15.1,30.48,11
13,13:54,45.0,10.9,30.46,11
13,14:54,46.0,9.0,30.47,11
13,15:54,44.1,7.0,30.47,11
13,16:54,39.9,12.9,30.47,11
13,17:54,41.0,8.1,30.48,11
13,18:54,39.9,8.1,30.47,11
13,19:54,39.0,10.0,30.48,11
13,20:54,39.0,12.9,30.48,11
13,21:54,37.9,15.1,30.47,11
13,22:54,37.0,16.0,30.46,11
13,23:54,35.1,15.1,30.46,11
14,00:54,35.1,15.1,30.45,11
14,01:54,34.0,16.0,30.44,11
14,02:54,33.1,16.0,30.41,11
14,03:54,32.0,16.0,30.38,11
14,04:54,32.0,16.0,30.39,11
14,05:54,32.0,16.0,30.39,11
14,06:54,32.0,16.0,30.39,11
14,07:54,35.1,17.1,30.39,11
14,08:54,37.9,19.0,30.38,11
14,09:54,39.9,21.0,30.36,11
14,10:54,42.1,21.9,30.33,11
14,11:54,43.0,21.9,30.29,11
14,12:54,44.1,18.0,30.26,11
14,13:54,44.1,16.0,30.23,11
14,14:54,43.0,12.9,30.21,11
14,15:54,41.0,8.1,30.19,11
14,16:54,41.0,8.1,30.17,11
14,17:54,41.0,3.9,30.16,11
14,18:54,41.0,3.0,30.14,11
14,19:54,39.9,3.9,30.12,11
14,20:54,39.9,5.0,30.1,11
14,21:54,37.9,7.0,30.08,11
14,22:54,37.0,8.1,30.05,11
14,23:54,37.0,7.0,30.03,11
15,00:54,36.0,10.9,30.01,11
15,01:54,35.1,12.0,30.0,11
15,02:54,35.1,10.9,29.97,11
15,03:54,35.1,12.0,29.96,11
15,04:54,34.0,12.0,29.93,11
15,05:54,34.0,12.0,29.91,11
15,06:54,36.0,12.0,29.9,11
15,07:54,39.9,14.0,29.87,11
15,08:54,42.1,12.0,29.84,11
15,09:54,45.0,10.0,29.82,11
15,10:54,50.0,9.0,29.78,11
15,11:54,55.0,7.0,29.73,11
15,12:54,55.9,8.1,29.7,11
15,13:54,59.0,8.1,29.66,11
15,14:54,59.0,10.0,29.64,11
15,15:54,57.0,14.0,29.64,11
15,16:54,54.0,15.1,29.63,11
15,17:54,53.1,14.0,29.64,11
15,18:54,52.0,15.1,29.65,11
15,19:54,51.1,17.1,29.65,11
15,20:54,50.0,19.0,29.66,11
15,21:54,48.9,21.0,29.66,11
15,22:54,48.0,19.9,29.66,11
15,23:54,46.9,19.0,29.65,11
16,00:54,46.0,19.0,29.66,11
16,01:54,46.9,18.0,29.66,11
16,02:54,46.9,18.0,29.66,11
16,04:54,46.0,19.0,29.67,11
16,05:54,45.0,19.0,29.68,11
16,06:54,46.0,18.0,29.7,11
16,07:54,48.0,18.0,29.71,11
16,08:54,51.1,19.0,29.73,11
16,09:54,53.1,21.0,29.74,11
16,10:54,55.9,24.1,29.73,11
16,11:54,59.0,28.0,29.72,11
16,12:54,61.0,30.0,29.7,11
16,13:54,62.1,30.9,29.7,11
16,14:54,61.0,30.9,29.73,11
16,15:54,57.9,32.0,29.75,11
16,16:54,55.9,32.0,29.79,11
16,17:54,55.0,30.9,29.82,11
16,18:54,54.0,30.9,29.84,11
16,19:54,53.1,30.0,29.85,11
16,20:54,52.0,27.0,29.87,11
16,21:54,51.1,23.0,29.88,11
16,22:54,50.0,21.0,29.88,11
16,23:54,50.0,19.0,29.88,11
17,00:54,48.9,18.0,29.88,11
17,01:54,48.0,17.1,29.91,11
17,02:54,48.0,17.1,29.91,11
17,03:54,48.0,16.0,29.92,11
